iter	Passed	Remaining
0	26	26462
1	49	24501
2	97	32495
3	126	31401
4	148	29520
5	182	30155
6	215	30623
7	234	29057
8	274	30182
9	295	29253
10	325	29284
11	359	29610
12	387	29442
13	411	28986
14	445	29236
15	468	28813
16	499	28880
17	523	28573
18	554	28654
19	588	28815
20	611	28525
21	646	28738
22	675	28699
23	701	28511
24	734	28645
25	759	28438
26	784	28260
27	806	28007
28	843	28257
29	860	27815
30	884	27654
31	922	27909
32	954	27956
33	975	27720
34	1012	27911
35	1039	27846
36	1067	27775
37	1108	28071
38	1135	27980
39	1166	27990
40	1197	28003
41	1224	27937
42	1247	27763
43	1272	27645
44	1300	27603
45	1331	27619
46	1363	27643
47	1390	27578
48	1416	27493
49	1443	27426
50	1473	27424
51	1501	27365
52	1526	27279
53	1561	27357
54	1588	27289
55	1628	27453
56	1669	27619
57	1695	27537
58	1732	27626
59	1747	27372
60	1789	27550
61	1820	27537
62	1856	27607
63	1880	27507
64	1923	27663
65	1954	27662
66	1988	27696
67	2026	27778
68	2076	28021
69	2110	28038
70	2139	27990
71	2201	28370
72	2234	28376
73	2272	28436
74	2307	28453
75	2325	28268
76	2362	28322
77	2393	28295
78	2425	28274
79	2445	28127
80	2474	28071
81	2497	27956
82	2519	27839
83	2556	27881
84	2584	27823
85	2621	27866
86	2658	27894
87	2684	27825
88	2708	27728
89	2729	27597
90	2770	27675
91	2808	27714
92	2842	27725
93	2872	27684
94	2906	27690
95	2929	27589
96	2959	27547
97	2991	27532
98	3017	27466
99	3052	27474
100	3078	27400
101	3108	27363
102	3144	27384
103	3174	27350
104	3214	27403
105	3262	27515
106	3295	27506
107	3330	27510
108	3359	27464
109	3417	27647
110	3451	27645
111	3490	27673
112	3551	27873
113	3584	27857
114	3618	27845
115	3638	27730
116	3670	27698
117	3707	27714
118	3741	27697
119	3776	27691
120	3810	27682
121	3829	27560
122	3863	27549
123	3889	27480
124	3921	27448
125	3948	27390
126	3985	27394
127	4009	27317
128	4062	27426
129	4087	27355
130	4104	27227
131	4139	27218
132	4166	27157
133	4187	27062
134	4222	27056
135	4252	27013
136	4293	27045
137	4314	26949
138	4341	26892
139	4378	26896
140	4409	26865
141	4451	26896
142	4485	26882
143	4519	26863
144	4579	27000
145	4614	26993
146	4651	26991
147	4683	26959
148	4714	26927
149	4740	26861
150	4773	26837
151	4814	26861
152	4849	26844
153	4873	26774
154	4897	26701
155	4933	26691
156	4964	26659
157	4995	26622
158	5021	26562
159	5059	26562
160	5082	26485
161	5123	26501
162	5164	26520
163	5195	26485
164	5225	26446
165	5268	26467
166	5297	26422
167	5321	26354
168	5349	26306
169	5379	26266
170	5396	26162
171	5446	26217
172	5478	26189
173	5516	26187
174	5531	26076
175	5571	26084
176	5617	26119
177	5665	26165
178	5705	26169
179	5726	26088
180	5782	26163
181	5803	26084
182	5838	26064
183	5871	26039
184	5901	26000
185	5928	25946
186	5959	25911
187	5987	25861
188	6008	25783
189	6044	25769
190	6073	25724
191	6108	25704
192	6138	25665
193	6166	25617
194	6205	25617
195	6237	25585
196	6266	25545
197	6293	25490
198	6311	25405
199	6346	25385
200	6377	25352
201	6414	25341
202	6443	25298
203	6470	25248
204	6492	25178
205	6541	25212
206	6567	25159
207	6605	25150
208	6631	25098
